no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
SPDYE2,3.78E-05,0.167092139,0.094900781,-0.816151993,-1.147897886,0.251010721,TRUE,FALSE,,,FGF14,0.000195239,0.202419558,0.150148182,-0.430961684,-3.561425106,0.000368847,TRUE,FALSE,,,PCBD1,0.000126737,0.047692774,0.016737802,1.51066061,4.11665906,3.84E-05,TRUE,TRUE
HMGN3,4.03E-05,0.491135714,0.377787776,-0.378545712,-2.159896103,0.030780714,TRUE,FALSE,,,ARHGEF26,0.00022559,0.554171521,0.435079318,-0.349054133,-2.580565675,0.009863859,TRUE,FALSE,,,ACTG1,0.000158011,0.441920588,0.280067152,0.658014356,4.748612616,2.05E-06,TRUE,TRUE
SPDYE3,4.03E-05,0.132050217,0.079645112,-0.729428952,-2.782717362,0.005390574,TRUE,FALSE,,,PDXDC1,0.000243775,0.420039715,0.327523527,-0.358927202,-2.998355936,0.002714405,TRUE,FALSE,,,RPL10,0.000301654,0.218593945,0.126397721,0.790282991,4.373668126,1.22E-05,TRUE,TRUE
GLUD1,4.03E-05,0.861470662,0.713899759,-0.271080149,-2.001122088,0.045379235,TRUE,FALSE,,,FAM196A,0.000254717,0.103924759,0.05749159,-0.854116572,-3.833595393,0.000126284,TRUE,TRUE,,,FOS,0.000310254,0.205555613,0.115773171,0.8282278,1.557956376,0.11924359,TRUE,FALSE
ZNF98,4.03E-05,1.221476861,1.040414505,-0.231468117,-1.27741448,0.201455955,FALSE,FALSE,,,TNIK,0.000259933,2.791610733,2.463218117,-0.1805534,-1.656708548,0.097578414,FALSE,FALSE,,,COX6B1,0.000310254,0.14164657,0.085793162,0.723361098,3.850681383,0.00011779,TRUE,TRUE
VDAC3,4.15E-05,0.178450976,0.121615304,-0.553202998,-3.002402665,0.002678576,TRUE,FALSE,,,ITGB4,0.000272063,0.288455717,0.42108991,0.545778451,6.441489029,1.18E-10,TRUE,TRUE,,,ISCU,0.000327993,0.088093972,0.040610211,1.11720077,4.645181996,3.40E-06,TRUE,TRUE
FAM155A,4.15E-05,2.006297289,1.762239723,-0.187125205,-4.895313343,9.81E-07,FALSE,FALSE,,,PRKG1,0.000330445,1.581392707,1.935079659,0.291197281,-0.174293394,0.86163489,TRUE,FALSE,,,RTN1,0.000349148,0.156482505,0.094672016,0.724991428,3.483542253,0.000494825,TRUE,TRUE
NR2F1,4.43E-05,0.134744702,0.220067845,0.707719815,5.067590142,4.03E-07,TRUE,TRUE,,,DTNA,0.000330445,4.421917445,4.82079803,0.124599897,2.598189116,0.009371686,FALSE,FALSE,,,GPC5,0.000401327,5.154471646,5.993345689,-0.217537036,-3.639212615,0.000273473,FALSE,FALSE
ADCY2,4.94E-05,1.967921316,2.408506297,0.291466158,2.479405354,0.013160165,TRUE,FALSE,,,DYNLL1,0.000341676,0.290091834,0.20891829,-0.473570881,-3.520667139,0.000430463,TRUE,FALSE,,,UST,0.000516151,0.244213129,0.155182855,0.654171584,2.592946957,0.009515745,TRUE,FALSE
ACSS1,5.60E-05,0.818534436,0.6537943,-0.324206314,-3.498040896,0.000468689,TRUE,FALSE,,,ESRRG,0.000360548,0.672326468,0.573303308,-0.229863342,-2.153303582,0.031294827,FALSE,FALSE,,,KNOP1,0.000516151,0.477046342,0.318230895,0.584055519,1.356073849,0.175075672,TRUE,FALSE
FBXL7,6.35E-05,1.825929668,1.582123965,-0.206768552,-3.40949132,0.000650841,FALSE,FALSE,,,FAM229B,0.000360548,0.050475335,0.030916265,-0.707212532,-3.557551595,0.000374328,TRUE,FALSE,,,CSRP1,0.000543319,0.5550754,0.386383753,0.522649325,5.474011509,4.40E-08,TRUE,TRUE
BRINP2,6.78E-05,0.268291086,0.212799923,-0.334301494,-4.248835561,2.15E-05,TRUE,TRUE,,,HEPN1,0.000360548,0.415026118,0.326394151,-0.346586922,-2.254534789,0.024162545,TRUE,FALSE,,,SLC3A2,0.000600126,0.403140557,0.28017196,0.524970353,4.384983243,1.16E-05,TRUE,TRUE
VSNL1,0.000108296,0.094200117,0.053655939,-0.811990982,-4.081778751,4.47E-05,TRUE,TRUE,,,UBC,0.000373254,0.363952274,0.297034623,-0.293118173,-2.468718717,0.013559776,TRUE,FALSE,,,SNRPD2,0.000620598,0.082039416,0.031496862,1.381109102,4.199440985,2.68E-05,TRUE,TRUE
DST,0.000108849,2.217319959,2.488625631,0.166532253,2.421903027,0.01543947,FALSE,FALSE,,,COL27A1,0.000419277,0.142703731,0.267882901,0.908579443,4.715462114,2.41E-06,TRUE,TRUE,,,FAU,0.00062932,0.161141187,0.069877263,1.205430271,4.49472676,6.97E-06,TRUE,TRUE
CCK,0.000148352,0.167792505,0.106517805,-0.655583678,-2.232962506,0.025551417,TRUE,FALSE,,,TRPM3,0.000532062,1.963139152,2.421253981,0.302591983,1.993310705,0.046227435,TRUE,FALSE,,,NRP1,0.00062932,0.177784577,0.329385736,-0.889647905,-4.396572416,1.10E-05,TRUE,TRUE
PLCB1,0.000157102,1.244605415,1.095536185,-0.184051292,-3.180618163,0.001469612,FALSE,FALSE,,,SAT2,0.000560081,0.24787453,0.172364726,-0.524145471,-2.478149201,0.013206591,TRUE,FALSE,,,RPS9,0.00062932,0.113720523,0.076483483,0.572272508,4.068207976,4.74E-05,TRUE,TRUE
