no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
MMP16,0.014181501,2.914564705,3.320176399,0.187979462,1.895970592,0.057963933,FALSE,FALSE,,,SPDYE3,0.000690493,0.186821316,0.115387212,-0.695175729,-2.655129114,0.007927806,TRUE,FALSE,,,ERH,5.70E-06,0.141003177,0.072072782,0.968201236,3.551704056,0.000382745,TRUE,FALSE
NDUFB9,0.018634077,0.165880432,0.106942418,-0.633309509,-3.006762822,0.002640457,FALSE,FALSE,,,WDR37,0.000690493,0.160738759,0.096824059,-0.731280369,-2.941697251,0.003264189,TRUE,FALSE,,,HSP90AB1,7.46E-06,0.443471798,0.2923406,0.601192158,5.691478632,1.26E-08,TRUE,TRUE
CDK17,0.018634077,0.12367109,0.096824485,-0.353064465,-3.415167673,0.000637428,FALSE,FALSE,,,SNAP25,0.000770808,0.579283715,0.466413381,-0.312660929,-2.972089966,0.0029578,TRUE,FALSE,,,YWHAH,7.83E-06,0.139319527,0.050033381,1.477434622,3.75913435,0.000170502,TRUE,TRUE
TMTC2,0.018901401,0.121036413,0.072904532,-0.731360726,-3.746701188,0.000179175,FALSE,FALSE,,,LY6H,0.000810909,0.355291237,0.274785131,-0.370698165,-1.990805388,0.046502287,TRUE,FALSE,,,TUBB2A,1.03E-05,0.122991528,0.053659641,1.196649636,3.796330721,0.000146854,TRUE,TRUE
SPDYE3,0.019622359,0.190048274,0.132220555,-0.52341945,-2.122975868,0.033755874,FALSE,FALSE,,,CACNA1D,0.000893897,0.571406373,0.419701876,-0.445152215,-3.55549638,0.000377266,TRUE,TRUE,,,SPARCL1,1.18E-05,1.008123845,0.739816581,0.446433341,4.833683922,1.34E-06,TRUE,TRUE
TEFM,0.019735276,0.12565335,0.081117395,-0.631365907,-3.443054805,0.000575183,FALSE,FALSE,,,FTL,0.000937805,0.525469254,0.398756687,-0.398097641,-1.86732599,0.061856078,TRUE,FALSE,,,CCK,1.26E-05,0.13069004,0.066365544,0.977642874,2.325483856,0.020046102,TRUE,FALSE
METTL7A,0.019931582,0.207521333,0.319882946,0.62428443,4.14238751,3.44E-05,FALSE,FALSE,,,KATNBL1,0.00095214,0.313978977,0.196606515,-0.67535683,-3.614783051,0.000300599,TRUE,TRUE,,,GSTP1,1.39E-05,0.166277964,0.077215532,1.106634,3.797406239,0.000146218,TRUE,TRUE
MMAB,0.020993439,0.10397611,0.050954561,-1.028968897,-3.258702894,0.001119228,FALSE,FALSE,,,TUBB,0.000972539,0.111926207,0.057857738,-0.951966059,-3.165566303,0.001547814,TRUE,FALSE,,,CPB2,1.39E-05,0.083145331,0.040259882,1.046292324,4.341434907,1.42E-05,TRUE,TRUE
CCK,0.021030566,0.15154417,0.089251057,-0.76379719,-2.799531362,0.005117684,FALSE,FALSE,,,UTRN,0.00117967,0.099911886,0.054063263,-0.88600772,-3.198404452,0.001381903,TRUE,FALSE,,,SCG5,1.65E-05,0.268851619,0.135539689,0.988094792,3.490324845,0.000482434,TRUE,FALSE
SST,0.021030566,0.012664026,0,#NAME?,NA,NA,FALSE,FALSE,,,RPL7,0.00117967,0.171270397,0.104409845,-0.714018063,-3.193980507,0.001403256,TRUE,FALSE,,,FAM196A,1.78E-05,0.200386322,0.099402702,1.01142706,3.785167455,0.000153605,TRUE,TRUE
BRINP3,0.022497289,1.934928893,2.288896111,0.242371434,2.408299974,0.016027006,FALSE,FALSE,,,STMN1,0.001242585,0.206504482,0.123576294,-0.74077108,-2.403303104,0.016247714,TRUE,FALSE,,,RPS27A,1.97E-05,0.261515094,0.129060665,1.018844859,5.134354462,2.83E-07,TRUE,TRUE
RGS7,0.02346032,1.689291374,1.46752133,-0.203036718,-3.592249791,0.000327835,FALSE,FALSE,,,MARCKSL1,0.001489106,0.711971356,0.554909847,-0.359565795,-2.220690495,0.026371932,TRUE,FALSE,,,HLA-C,2.09E-05,0.258134479,0.164553072,0.649569893,3.58651577,0.000335126,TRUE,FALSE
BIRC6,0.02346032,0.733946672,0.624143761,-0.233796873,-3.41070606,0.000647949,FALSE,FALSE,,,MMP16,0.001564128,2.864796739,3.396414124,0.245579596,3.026562753,0.002473515,FALSE,FALSE,,,DYNLRB1,2.09E-05,0.193326564,0.088751686,1.123193455,3.707120029,0.00020963,TRUE,TRUE
STAT1,0.02346032,0.119574721,0.068139266,-0.8113541,-3.013442638,0.002583019,FALSE,FALSE,,,TRMT10B,0.001599283,0.199401649,0.133933977,-0.574155348,-2.227414925,0.025919556,TRUE,FALSE,,,ACAA1,2.17E-05,0.142633275,0.061938182,1.203409637,4.41619569,1.00E-05,TRUE,TRUE
HERC6,0.02346032,0.18220735,0.109209177,-0.73848707,-2.609512994,0.00906712,FALSE,FALSE,,,TMEM241,0.001721975,0.264399388,0.159979138,-0.724835056,-3.653075352,0.000259118,TRUE,TRUE,,,BCAN,2.91E-05,1.346589823,1.061609027,0.343057923,5.116978048,3.10E-07,TRUE,TRUE
NLN,0.02346032,0.098639677,0.058782369,-0.74678458,-2.58565701,0.009719359,FALSE,FALSE,,,NDUFA4,0.001795374,0.239242533,0.169750326,-0.495059553,-1.671361648,0.094650266,TRUE,FALSE,,,TALDO1,3.14E-05,0.147967478,0.067308463,1.136420304,4.180544229,2.91E-05,TRUE,TRUE
PPP3CC,0.02346032,0.300877089,0.2235108,-0.428829706,-2.992655741,0.002765615,FALSE,FALSE,,,TIMP3,0.001842578,0.404666609,0.264612674,-0.612851644,-3.340421501,0.000836513,TRUE,FALSE,,,HINT1,3.21E-05,0.166620284,0.07382987,1.174287525,2.952504956,0.00315207,TRUE,FALSE
ITGA8,0.02346032,0.926778679,0.740074047,-0.324555229,-0.912918324,0.361285499,FALSE,FALSE,,,CATSPER2,0.001858295,0.173947732,0.101779923,-0.773200861,-3.657613211,0.000254575,TRUE,TRUE,,,PNISR,3.24E-05,1.504094355,1.176233963,0.35472002,3.604125463,0.000313206,TRUE,FALSE
BICD1,0.02346032,0.479881496,0.382014143,-0.329052135,-2.5576694,0.010537622,FALSE,FALSE,,,CALM3,0.002188518,0.141812792,0.093746669,-0.597148332,-3.397418262,0.000680249,TRUE,FALSE,,,FABP7,3.63E-05,0.24831756,0.154469284,0.684866299,4.636716161,3.54E-06,TRUE,TRUE
PCDH9,0.02346032,8.941079446,9.780572572,0.129469909,0.422589032,0.67259513,FALSE,FALSE,,,PGM1,0.002979217,0.125938055,0.075160491,-0.744667898,-3.029666176,0.002448242,TRUE,FALSE,,,S100B,3.78E-05,0.52481784,0.352667156,0.573509539,5.414485434,6.15E-08,TRUE,TRUE
XYLT1,0.02346032,3.385803341,3.074892141,-0.138962374,-3.307860002,0.000940118,FALSE,FALSE,,,PCDH9,0.003131893,8.78839056,9.810877822,0.158783241,0.887506662,0.374806181,FALSE,FALSE,,,TUBB,4.16E-05,0.13495881,0.057576461,1.228968141,4.537046398,5.70E-06,TRUE,TRUE
WFDC1,0.02346032,0.179720418,0.117543231,-0.612562861,-2.810816268,0.0049416,FALSE,FALSE,,,TEFM,0.003228775,0.123508423,0.072950644,-0.759616807,-2.874093426,0.004051891,TRUE,FALSE,,,PRDX1,4.39E-05,0.206979419,0.118275998,0.807329981,2.561330107,0.010427223,TRUE,FALSE
PFKFB3,0.024609389,0.073076211,0.036242686,-1.011711945,-3.363285813,0.000770206,FALSE,FALSE,,,CRLF3,0.003649812,0.316962011,0.234524339,-0.434572283,-2.537764915,0.01115629,TRUE,FALSE,,,CD63,4.39E-05,0.205671082,0.108309316,0.92518162,4.316016924,1.59E-05,TRUE,TRUE
SRGAP3,0.026124475,0.60936839,0.501609945,-0.280748714,-1.90865034,0.056307213,FALSE,FALSE,,,ZBTB7C,0.003649812,0.189489522,0.117652631,-0.687584493,-3.476091501,0.000508779,TRUE,TRUE,,,HSPH1,4.39E-05,0.141283691,0.051096868,1.46728817,3.64081343,0.000271778,TRUE,FALSE
TENM2,0.026124475,0.111732338,0.058767868,-0.926947344,-3.644685579,0.000267719,FALSE,FALSE,,,TENM2,0.003890583,0.109816375,0.052062375,-1.076780168,-3.791787342,0.000149567,TRUE,TRUE,,,CHCHD2,4.87E-05,0.174678092,0.089190318,0.969739661,3.196893946,0.00138916,TRUE,FALSE
CHRDL1,0.026124475,0.012525325,0.05047448,2.010706148,4.34733629,1.38E-05,FALSE,FALSE,,,SPDYE5,0.003890583,0.132458442,0.075849121,-0.80433543,-2.158366179,0.030899373,TRUE,FALSE,,,GPM6B,5.35E-05,1.861415858,1.51009536,0.301760747,4.925019165,8.44E-07,TRUE,TRUE
PHLDA1,0.026124475,0.382481282,0.491841838,0.362805316,3.661411885,0.000250829,FALSE,FALSE,,,NAV2,0.003890583,2.425070154,2.113165154,-0.198620958,-3.045901347,0.002319839,FALSE,FALSE,,,SKP1,6.36E-05,0.250750631,0.150782473,0.733784592,3.450107463,0.000560363,TRUE,FALSE
ZBTB7C,0.026124475,0.192762298,0.127663512,-0.59447667,-2.937494616,0.003308759,FALSE,FALSE,,,CCDC85B,0.004031327,0.11487289,0.066243594,-0.794185504,-2.722930119,0.006470574,TRUE,FALSE,,,EEF1A1,6.43E-05,0.363787436,0.249360009,0.544865605,3.918105823,8.92E-05,TRUE,TRUE
