no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
DNAH17,4.33E-14,0.090757391,0.05489763,-0.725271279,-3.571156922,0.000355408,TRUE,FALSE,,,CPQ,3.27E-10,0.309210836,0.391715209,0.341214266,3.602983215,0.000314586,TRUE,FALSE,,,TUBA1B,7.50E-13,0.196835969,0.143724975,0.4536831,5.782659451,7.35E-09,TRUE,TRUE
DLG2,5.83E-14,3.523370394,3.288668396,-0.099452601,-9.163673593,5.02E-20,FALSE,FALSE,,,TAGLN3,4.14E-10,0.031217557,0.0116135,-1.426554786,-4.258833211,2.05E-05,TRUE,TRUE,,,FTL,7.77E-13,0.835133144,0.692945399,0.269264544,5.496517872,3.87E-08,TRUE,TRUE
QKI,6.28E-14,3.527829453,3.822506277,0.115738053,1.475669759,0.140032568,FALSE,FALSE,,,CHN1,7.35E-10,0.149065924,0.106928895,-0.479298733,-3.474377606,0.00051204,TRUE,FALSE,,,LDLRAD3,8.66E-13,0.210666736,0.149988506,0.490110582,4.581052047,4.63E-06,TRUE,TRUE
KIRREL3,2.17E-13,0.798915755,0.919403195,0.202654299,1.130333887,0.258335561,FALSE,FALSE,,,GAP43,7.90E-10,0.025858074,0.010314863,-1.325890136,-5.937810568,2.89E-09,TRUE,TRUE,,,DYNLRB1,1.21E-12,0.135175442,0.097399591,0.472845455,6.661522573,2.71E-11,TRUE,TRUE
TMBIM6,3.13E-13,0.197688236,0.251529041,0.347497959,5.63903374,1.71E-08,TRUE,TRUE,,,HP1BP3,8.89E-10,0.22314739,0.29193814,0.387665768,3.952244308,7.74E-05,TRUE,TRUE,,,C14orf2,1.39E-12,0.073601924,0.044770497,0.71719515,5.62390772,1.87E-08,TRUE,TRUE
SEPT8,3.67E-13,0.22122163,0.276903927,0.323893063,4.940165725,7.81E-07,TRUE,TRUE,,,YWHAH,1.21E-09,0.057719513,0.031650267,-0.866841456,-4.749436157,2.04E-06,TRUE,TRUE,,,RPS4X,2.15E-12,0.092173976,0.059512188,0.631174325,6.382811279,1.74E-10,TRUE,TRUE
GREB1L,6.13E-13,0.223529911,0.164488489,-0.442481266,-4.948504921,7.48E-07,TRUE,TRUE,,,ADAMTS18,1.22E-09,0.086734179,0.120976886,0.480058907,1.29077981,0.196780041,TRUE,FALSE,,,ALDOA,2.15E-12,0.130228417,0.090729029,0.521408175,6.175603819,6.59E-10,TRUE,TRUE
RPS27,7.88E-13,0.061804407,0.091862488,0.571766143,4.361373106,1.29E-05,TRUE,TRUE,,,GREB1L,1.22E-09,0.216834268,0.166190456,-0.383755242,-4.316526816,1.59E-05,TRUE,TRUE,,,RPS9,2.15E-12,0.194819642,0.141315683,0.463217551,4.520067637,6.18E-06,TRUE,TRUE
AMD1,8.67E-13,0.254365087,0.307218114,0.272362615,3.082262588,0.002054335,TRUE,FALSE,,,DLGAP1,1.32E-09,0.080970692,0.052047235,-0.637578287,-4.271703163,1.94E-05,TRUE,TRUE,,,SRPRB,2.71E-12,0.11166835,0.070213315,0.669403806,4.223022433,2.41E-05,TRUE,TRUE
NPTX2,8.68E-13,0.01814612,0.031541769,0.797602501,2.052638788,0.040107623,TRUE,FALSE,,,PTPRD,1.86E-09,2.55814955,2.343575827,-0.126389133,-2.336497824,0.019465311,FALSE,FALSE,,,DNAJA1,2.90E-12,0.090114381,0.05808557,0.633577556,7.367224577,1.74E-13,TRUE,TRUE
