no-pathology vs pathology differential expression,,,,,,,,,,,no-pathology vs early-pathology differential expression,,,,,,,,,,, early-pathology vs late-pathology differential expression,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,no.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,,,,IndModel.adj.pvals,late.pathology.mean,early.pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
CD164,0.016264728,0.021710798,0.065299017,1.588648542,3.651422983,0.000260791,FALSE,FALSE,,,RNF149,0.116810829,0.44099732,0.305732099,-0.528501857,-2.55709765,0.010554958,FALSE,FALSE,,,IDE,0.151525684,0.090356716,0.040937348,1.142214198,2.829726046,0.004658788,FALSE,FALSE
LHFPL2,0.016945888,0.432373068,0.553710145,0.356854293,2.212236792,0.026950308,FALSE,FALSE,,,PTPRG,0.116810829,0.031990737,0.108473955,1.761622544,4.251183752,2.13E-05,FALSE,FALSE,,,SLC7A6,0.151525684,0.115140387,0.075677001,0.605467153,2.989822633,0.002791395,FALSE,FALSE
ZC3H12C,0.017198019,0.028325884,0.06289763,1.150884673,3.845257013,0.000120426,FALSE,FALSE,,,TAF1D,0.116810829,0.148762051,0.241495222,0.698988106,3.271426134,0.001070065,FALSE,FALSE,,,NSF,0.151525684,0.239786929,0.163761628,0.550155672,3.094494374,0.001971487,FALSE,FALSE
ADGRG1,0.017706034,0.186760703,0.28196268,0.594313296,2.747975163,0.005996455,FALSE,FALSE,,,ZC3H12C,0.116810829,0.027973973,0.069550014,1.313965653,3.92796045,8.57E-05,FALSE,FALSE,,,UBL5,0.151525684,0.033200022,0.004555576,2.865478943,2.682795134,0.00730097,FALSE,FALSE
SHTN1,0.018394567,0.273484456,0.358320998,0.389793751,2.816620329,0.004853186,FALSE,FALSE,,,SMCHD1,0.116810829,0.260803427,0.135057143,-0.949392885,-2.591482027,0.009556353,FALSE,FALSE,,,TRAK2,0.158078875,0.042155763,0.016358333,1.365704171,1.605708373,0.108338001,FALSE,FALSE
NPAS3,0.019592298,0.054789714,0.120731693,1.139827464,3.407435351,0.000655764,FALSE,FALSE,,,CSF1R,0.122495354,0.373994834,0.523893093,0.486254098,2.123835742,0.033683881,FALSE,FALSE,,,SUGT1,0.158078875,0.06281785,0.02614271,1.264765856,2.821938806,0.004773428,FALSE,FALSE
CHN2,0.019626163,0.40346148,0.273947893,-0.55852943,-3.784360609,0.000154104,FALSE,FALSE,,,TMEM116,0.122495354,0.003494023,0.020270504,2.536421092,1.956142459,0.050448375,FALSE,FALSE,,,TRAPPC8,0.158078875,0.085146162,0.033420704,1.349199373,2.66954907,0.007595317,FALSE,FALSE
RPL18,0.019626163,0.10638592,0.198580518,0.90041687,1.475500836,0.140077944,FALSE,FALSE,,,UBC,0.122495354,0.254146473,0.151240326,-0.748817341,-1.951602014,0.050985474,FALSE,FALSE,,,ST3GAL6,0.16876033,0.23016834,0.170059241,0.436651998,2.077835,0.037724559,FALSE,FALSE
PARP14,0.020946945,0.24107099,0.157856232,-0.610846831,-2.790309365,0.00526577,FALSE,FALSE,,,RAD51B,0.122495354,0.431662147,0.32835865,-0.394630126,-3.562025642,0.000368004,FALSE,FALSE,,,CLEC9A,0.18065808,0.065341531,0.028142378,1.215256026,2.390315054,0.016833925,FALSE,FALSE
RGS1,0.021078025,0.172335753,0.094356755,-0.869024324,-2.314202971,0.020656591,FALSE,FALSE,,,CEBPA,0.122495354,0.025928069,0.07240992,1.481672581,2.969859936,0.002979356,FALSE,FALSE,,,ZNF846,0.18065808,0.208141424,0.118210324,0.816208075,3.262521,0.00110426,FALSE,FALSE
SRPK1,0.021125613,0.014091365,0.042168665,1.581359978,3.729132401,0.00019214,FALSE,FALSE,,,FCGBP,0.122495354,0.13364738,0.232952037,0.801601387,2.643144293,0.008214002,FALSE,FALSE,,,MXI1,0.181436773,0.05637226,0.01046875,2.428896168,2.727821657,0.006375407,FALSE,FALSE
RPL13,0.021125613,0.301193721,0.506181658,0.748963536,1.858211442,0.063138994,FALSE,FALSE,,,CPA6,0.133798104,0.040421752,0.083991585,1.05511296,1.98904286,0.046696472,FALSE,FALSE,,,RPL31,0.182028119,0.095779228,0.186898615,-0.964471175,-2.881796073,0.003954156,FALSE,FALSE
BMP2K,0.021332121,0.465417012,0.60546736,0.379525245,2.765036131,0.005691649,FALSE,FALSE,,,CERCAM,0.133798104,0.005939693,0.024160696,2.02420165,NA,NA,FALSE,FALSE,,,METTL21A,0.182028119,0.084739889,0.040360087,1.07011195,2.313667309,0.020685978,FALSE,FALSE
EMID1,0.02194558,0.04935774,0.022235265,-1.150426781,-3.83985018,0.000123109,FALSE,FALSE,,,TESC,0.133798104,0.02381483,0.001740438,-3.774337741,-2.594128056,0.009483116,FALSE,FALSE,,,PCSK1N,0.182028119,0.053116299,0.017237356,1.623616166,2.654773905,0.007936158,FALSE,FALSE
ARL17B,0.022101571,0.134064646,0.078611263,-0.770120908,-1.151684737,0.249450647,FALSE,FALSE,,,APOE,0.133798104,0.598762796,0.733152112,0.292127973,2.390677748,0.016817306,FALSE,FALSE,,,STMN2,0.182028119,0.039400376,0.010416528,1.919334912,0.950163851,0.342029003,FALSE,FALSE
TRPC1,0.02308389,0.021786107,0.052309633,1.26366821,3.725025028,0.000195296,FALSE,FALSE,,,PTPN22,0.138419157,0.054058524,0.014961236,-1.853292743,-2.371032389,0.017738477,FALSE,FALSE,,,NDUFB6,0.182028119,0.044953084,0.018763752,1.260471726,2.553770065,0.01065636,FALSE,FALSE
PDE7A,0.02308389,0.157250823,0.088012854,-0.837281429,-3.714880304,0.0002033,FALSE,FALSE,,,ICA1,0.138419157,0.062669902,0.022260345,-1.493296781,-2.900558951,0.003724978,FALSE,FALSE,,,PRRG4,0.182028119,0.027986054,0.007579923,1.884452979,2.529165592,0.011433407,FALSE,FALSE
ARHGAP9,0.023173194,0.030345565,0.067578184,1.155071878,3.359786591,0.000780027,FALSE,FALSE,,,BAHD1,0.139961431,0.006065673,0.028821152,2.248388334,2.932865456,0.003358494,FALSE,FALSE,,,ARL17B,0.182028119,0.119966644,0.051264799,1.22659289,1.20406773,0.228563401,FALSE,FALSE
SIGLEC1,0.023173194,0.052575447,0.01695901,-1.632337212,-3.368850452,0.000754824,FALSE,FALSE,,,RPL22L1,0.141803865,0.011236693,0.038211668,1.765795771,3.51857356,0.000433874,FALSE,FALSE,,,SPATA20,0.182028119,0.043010641,0.013567622,1.664525769,2.278636447,0.022688685,FALSE,FALSE
MX2,0.023173194,0.094547498,0.047688824,-0.987388058,-2.368142655,0.017877641,FALSE,FALSE,,,TYW1,0.141803865,0.095320256,0.049075844,-0.95776974,-3.113993184,0.001845738,FALSE,FALSE,,,MED17,0.18282137,0.034764918,0.014970199,1.215538795,2.291068239,0.021959467,FALSE,FALSE
THOC6,0.026694778,0.002273979,0.015991244,2.813991647,2.462498598,0.013797271,FALSE,FALSE,,,PBXIP1,0.144360675,0.009566266,0.023716657,1.309872811,2.807936357,0.004986008,FALSE,FALSE,,,MAP3K13,0.187266661,0.084477186,0.049938154,0.758419284,2.171475024,0.029895283,FALSE,FALSE
