MODULE	GENE
cntrol_5vs2_up_t2	AC020905.1
cntrol_5vs2_up_t2	AC021231.1
cntrol_5vs2_up_t2	AC021752.1
cntrol_5vs2_up_t2	AC022021.1
cntrol_5vs2_up_t2	AC022387.1
cntrol_5vs2_up_t2	AC022414.1
cntrol_5vs2_up_t2	AC022424.1
cntrol_5vs2_up_t2	AC022809.1
cntrol_5vs2_up_t2	AC023034.2
cntrol_5vs2_up_t2	AC023347.1
cntrol_5vs2_up_t2	AC023490.3
cntrol_5vs2_up_t2	AC024257.1
cntrol_5vs2_up_t2	AC025048.1
cntrol_5vs2_up_t2	AC025159.1
cntrol_5vs2_up_t2	AC025174.1
cntrol_5vs2_up_t2	AC025470.2
cntrol_5vs2_up_t2	AC025682.1
cntrol_5vs2_up_t2	AC026116.1
cntrol_5vs2_up_t2	AC026471.4
cntrol_5vs2_up_t2	AC026704.1
cntrol_5vs2_up_t2	AC027644.4
cntrol_5vs2_up_t2	AC027701.1
cntrol_5vs2_up_t2	AC034236.3
cntrol_5vs2_up_t2	AC040934.1
cntrol_5vs2_up_t2	AC046185.1
cntrol_5vs2_up_t2	AC048341.1
cntrol_5vs2_up_t2	AC061961.1
cntrol_5vs2_up_t2	AC062029.1
cntrol_5vs2_up_t2	AC067773.1
cntrol_5vs2_up_t2	AC068547.1
cntrol_5vs2_up_t2	AC068875.1
cntrol_5vs2_up_t2	AC068992.1
cntrol_5vs2_up_t2	AC069133.1
cntrol_5vs2_up_t2	AC073133.1
cntrol_5vs2_up_t2	AC073263.1
cntrol_5vs2_up_t2	AC073332.1
cntrol_5vs2_up_t2	AC073336.1
cntrol_5vs2_up_t2	AC073389.2
cntrol_5vs2_up_t2	AC073486.1
cntrol_5vs2_up_t2	AC073864.1
cntrol_5vs2_up_t2	AC074032.1
cntrol_5vs2_up_t2	AC078785.1
cntrol_5vs2_up_t2	AC078909.1
cntrol_5vs2_up_t2	AC078927.1
cntrol_5vs2_up_t2	AC079610.3
cntrol_5vs2_up_t2	AC079807.1
cntrol_5vs2_up_t2	AC083906.3
cntrol_5vs2_up_t2	AC087241.1
cntrol_5vs2_up_t2	AC087627.1
cntrol_5vs2_up_t2	AC090229.1
cntrol_5vs2_up_t2	AC090458.1
cntrol_5vs2_up_t2	AC090517.4
cntrol_5vs2_up_t2	AC091100.1
cntrol_5vs2_up_t2	AC091138.1
cntrol_5vs2_up_t2	AC091212.1
cntrol_5vs2_up_t2	AC092171.4
cntrol_5vs2_up_t2	AC092687.1
cntrol_5vs2_up_t2	AC092813.1
cntrol_5vs2_up_t2	AC092835.1
cntrol_5vs2_up_t2	AC093323.1
cntrol_5vs2_up_t2	AC093334.1
cntrol_5vs2_up_t2	AC097376.2
cntrol_5vs2_up_t2	AC097487.1
cntrol_5vs2_up_t2	AC098582.1
cntrol_5vs2_up_t2	AC098829.1
cntrol_5vs2_up_t2	AC098850.3
cntrol_5vs2_up_t2	AC099344.1
cntrol_5vs2_up_t2	AC099482.1
cntrol_5vs2_up_t2	AC099518.6
cntrol_5vs2_up_t2	AC099542.1
cntrol_5vs2_up_t2	AC099669.1
cntrol_5vs2_up_t2	AC103739.2
cntrol_5vs2_up_t2	AC103855.3
cntrol_5vs2_up_t2	AC103974.1
cntrol_5vs2_up_t2	AC104113.1
cntrol_5vs2_up_t2	AC105402.3
cntrol_5vs2_up_t2	AC105460.2
cntrol_5vs2_up_t2	AC106791.1
cntrol_5vs2_up_t2	AC106795.3
cntrol_5vs2_up_t2	AC106869.1
cntrol_5vs2_up_t2	AC107204.1
cntrol_5vs2_up_t2	AC109466.1
cntrol_5vs2_up_t2	AC109927.1
cntrol_5vs2_up_t2	AC110769.2
cntrol_5vs2_up_t2	AC113383.1
cntrol_5vs2_up_t2	AC114956.2
cntrol_5vs2_up_t2	AC116366.3
cntrol_5vs2_up_t2	AC116535.1
cntrol_5vs2_up_t2	AC117394.2
cntrol_5vs2_up_t2	AC123912.1
cntrol_5vs2_up_t2	AC124312.1
cntrol_5vs2_up_t2	AC124312.3
cntrol_5vs2_up_t2	AC125616.1
cntrol_5vs2_up_t2	AC130324.3
cntrol_5vs2_up_t2	AC131956.2
cntrol_5vs2_up_t2	AC133065.1
cntrol_5vs2_up_t2	AC134682.1
cntrol_5vs2_up_t2	AC135050.2
cntrol_5vs2_up_t2	AC136944.1
cntrol_5vs2_up_t2	AC137579.1
cntrol_5vs2_up_t2	AC137630.2
cntrol_5vs2_up_t2	AC137932.3
cntrol_5vs2_up_t2	AC138356.1
cntrol_5vs2_up_t2	AC138904.3
cntrol_5vs2_up_t2	AC139887.2
cntrol_5vs2_up_t2	AC142472.1
cntrol_5vs2_up_t2	AC145422.1
cntrol_5vs2_up_t2	AC233296.1
cntrol_5vs2_up_t2	AC234772.2
cntrol_5vs2_up_t2	AC239809.3
cntrol_5vs2_up_t2	AC245297.3
cntrol_5vs2_up_t2	AC254633.1
cntrol_5vs2_up_t2	ACAD10
cntrol_5vs2_up_t2	ACAD9
cntrol_5vs2_up_t2	ACADM
cntrol_5vs2_up_t2	ACAP2
cntrol_5vs2_up_t2	ACBD6
cntrol_5vs2_up_t2	ACCSL
cntrol_5vs2_up_t2	ACKR1
cntrol_5vs2_up_t2	ACO1
cntrol_5vs2_up_t2	ACSL4
cntrol_5vs2_up_t2	ACTB
cntrol_5vs2_up_t2	ACTG2
cntrol_5vs2_up_t2	ACTL6A
cntrol_5vs2_up_t2	ACTR1A
cntrol_5vs2_up_t2	ACVR1
cntrol_5vs2_up_t2	ACVR1B
cntrol_5vs2_up_t2	ACVR1C
cntrol_5vs2_up_t2	ACVR2B
cntrol_5vs2_up_t2	ACYP2
cntrol_5vs2_up_t2	ADAM10
cntrol_5vs2_up_t2	ADAM23
cntrol_5vs2_up_t2	ADAM9
cntrol_5vs2_up_t2	ADAMTS16
cntrol_5vs2_up_t2	ADAMTS17
cntrol_5vs2_up_t2	ADAMTS5
cntrol_5vs2_up_t2	ADAR
cntrol_5vs2_up_t2	ADCY9
cntrol_5vs2_up_t2	ADCYAP1
cntrol_5vs2_up_t2	ADGRA3
cntrol_5vs2_up_t2	ADGRF3
cntrol_5vs2_up_t2	ADGRL1
cntrol_5vs2_up_t2	ADGRL2
cntrol_5vs2_up_t2	ADGRL3
cntrol_5vs2_up_t2	ADNP
cntrol_5vs2_up_t2	ADNP2
cntrol_5vs2_up_t2	ADRA1A
cntrol_5vs2_up_t2	ADSSL1
cntrol_5vs2_up_t2	AF106564.1
cntrol_5vs2_up_t2	AFF3
cntrol_5vs2_up_t2	AGAP1
cntrol_5vs2_up_t2	AGBL3
cntrol_5vs2_up_t2	AGO3
cntrol_5vs2_up_t2	AGPAT4
cntrol_5vs2_up_t2	AGT
cntrol_5vs2_up_t2	AHI1
cntrol_5vs2_up_t2	AHR
cntrol_5vs2_up_t2	AIDA
cntrol_5vs2_up_t2	AIMP1
cntrol_5vs2_up_t2	AK3
cntrol_5vs2_up_t2	AK4
cntrol_5vs2_up_t2	AKAP1
cntrol_5vs2_up_t2	AKAP11
cntrol_5vs2_up_t2	AKAP14
cntrol_5vs2_up_t2	AKAP5
cntrol_5vs2_up_t2	AKAP9
cntrol_5vs2_up_t2	AL031587.2
cntrol_5vs2_up_t2	AL033381.1
cntrol_5vs2_up_t2	AL035071.1
cntrol_5vs2_up_t2	AL035563.1
cntrol_5vs2_up_t2	AL035706.1
cntrol_5vs2_up_t2	AL049651.1
cntrol_5vs2_up_t2	AL049836.2
cntrol_5vs2_up_t2	AL050343.2
cntrol_5vs2_up_t2	AL050403.2
cntrol_5vs2_up_t2	AL078639.1
cntrol_5vs2_up_t2	AL080250.1
cntrol_5vs2_up_t2	AL080317.1
cntrol_5vs2_up_t2	AL109811.1
cntrol_5vs2_up_t2	AL121929.2
cntrol_5vs2_up_t2	AL121987.1
cntrol_5vs2_up_t2	AL133346.1
cntrol_5vs2_up_t2	AL133417.1
cntrol_5vs2_up_t2	AL133481.1
cntrol_5vs2_up_t2	AL136088.1
cntrol_5vs2_up_t2	AL136295.5
cntrol_5vs2_up_t2	AL136382.1
cntrol_5vs2_up_t2	AL136454.1
cntrol_5vs2_up_t2	AL136531.2
cntrol_5vs2_up_t2	AL137785.1
cntrol_5vs2_up_t2	AL137856.1
cntrol_5vs2_up_t2	AL138752.2
cntrol_5vs2_up_t2	AL139011.2
cntrol_5vs2_up_t2	AL139021.1
cntrol_5vs2_up_t2	AL139260.1
cntrol_5vs2_up_t2	AL139393.1
cntrol_5vs2_up_t2	AL157832.1
cntrol_5vs2_up_t2	AL159163.1
cntrol_5vs2_up_t2	AL162274.1
cntrol_5vs2_up_t2	AL162311.3
cntrol_5vs2_up_t2	AL162457.2
cntrol_5vs2_up_t2	AL353604.1
cntrol_5vs2_up_t2	AL354893.2
cntrol_5vs2_up_t2	AL354950.1
cntrol_5vs2_up_t2	AL355312.2
cntrol_5vs2_up_t2	AL355472.3
cntrol_5vs2_up_t2	AL355512.1
cntrol_5vs2_up_t2	AL356259.1
cntrol_5vs2_up_t2	AL356488.2
cntrol_5vs2_up_t2	AL358075.4
cntrol_5vs2_up_t2	AL359644.1
cntrol_5vs2_up_t2	AL359710.1
cntrol_5vs2_up_t2	AL365232.1
cntrol_5vs2_up_t2	AL390728.5
cntrol_5vs2_up_t2	AL391497.1
cntrol_5vs2_up_t2	AL392086.1
cntrol_5vs2_up_t2	AL450384.2
cntrol_5vs2_up_t2	AL512622.1
cntrol_5vs2_up_t2	AL513320.1
cntrol_5vs2_up_t2	AL583839.1
