"","AD_astrocyte","bvFTD_astrocyte","Control_astrocyte","PSP-S_astrocyte","AD_astrocyte_rank","bvFTD_astrocyte_rank","Control_astrocyte_rank","PSP-S_astrocyte_rank"
"PKNOX1 (11g)",0.270261300323922,0.250597528526971,0.237617407224947,0.235315645967801,115,116,128,121
"PAX6_extended (15g)",0.35735632643622,0.291390513481495,0.352088050674081,0.254461802654233,70,92,71,108
"AR_extended (13g)",0.340446323834032,0.289940500797777,0.313040915369873,0.262467627746932,81,93,90,103
"EP300_extended (48g)",0.339611886424658,0.309652448572861,0.353143494721058,0.29342906402794,82,82,70,77
"MAFG_extended (21g)",0.318847215941237,0.307880203349444,0.317319683428347,0.280151112323552,92,84,87,87
"STAT5B (11g)",0.25225256464531,0.24490202928773,0.268802963081424,0.23584910745131,124,120,113,120
"CEBPB (44g)",0.326797437321298,0.32441796770785,0.291549513339246,0.307077484872754,89,70,105,54
"NR1D1_extended (20g)",0.262445199529612,0.251262677830417,0.267127591716585,0.247943496323356,121,115,115,114
"HSF1_extended (13g)",0.306153792149306,0.266520831020324,0.309647345619511,0.26278146733401,100,110,93,102
"SETDB1_extended (15g)",0.268160782931824,0.243156665212646,0.264403064259363,0.232517515143774,118,122,117,123
"ZNF883 (11g)",0.26999969784548,0.270882156084938,0.245535411157287,0.252224252258106,116,105,125,111
"SOX13_extended (11g)",0.243712308770693,0.228867120891267,0.256048808838176,0.218194962237132,126,125,122,128
"DEAF1 (26g)",0.309259129430272,0.286204714286591,0.345485079499961,0.251362272111669,98,95,73,112
"FOXK1_extended (11g)",0.259487309761502,0.238601801396241,0.256532238522751,0.234372054299734,123,123,121,122
