"ct_subcluster","ext_module","fdr"
"calcarine-excitatory-3","Ex11",2.96813150450089e-10
"calcarine-excitatory-3","Ex12",0.683315901994637
"calcarine-excitatory-3","Ex14",0.504697567980006
"calcarine-excitatory-3","Ex2",0.212194774497689
"calcarine-excitatory-3","Ex3",0.574842248606296
"calcarine-excitatory-3","Ex4",0.0637954935002092
"calcarine-excitatory-3","Ex5",0.219298691973973
"calcarine-excitatory-3","Ex6",7.06539854993363e-50
"calcarine-excitatory-3","Ex7",1
"calcarine-excitatory-3","Ex8",3.924270400227e-52
"calcarine-excitatory-3","Ex9",0.495706863281609
"calcarine-excitatory-4","Ex0",0.681335549158932
"calcarine-excitatory-4","Ex1",0.00608394950779296
"calcarine-excitatory-4","Ex11",1
"calcarine-excitatory-4","Ex12",0.683315901994637
"calcarine-excitatory-4","Ex14",0.505911193760848
"calcarine-excitatory-4","Ex2",0.213538615854909
"calcarine-excitatory-4","Ex3",0.577333734333971
"calcarine-excitatory-4","Ex4",8.4886418380956e-11
"calcarine-excitatory-4","Ex5",1
"calcarine-excitatory-4","Ex6",6.40532311682065e-16
"calcarine-excitatory-4","Ex7",0.680411431752603
"calcarine-excitatory-4","Ex8",2.67170853262381e-109
"calcarine-excitatory-4","Ex9",0.496434221499163
"calcarine-excitatory-5","Ex0",4.14149002846256e-05
"calcarine-excitatory-5","Ex1",5.04816666732025e-21
"calcarine-excitatory-5","Ex11",4.07632008509719e-06
"calcarine-excitatory-5","Ex12",1.24207131565151e-65
"calcarine-excitatory-5","Ex14",1.20938745305975e-24
"calcarine-excitatory-5","Ex2",6.29707947818432e-13
"calcarine-excitatory-5","Ex3",7.33223167547713e-09
"calcarine-excitatory-5","Ex4",1
"calcarine-excitatory-5","Ex5",0.0559347096502345
"calcarine-excitatory-5","Ex6",0.159593976703895
"calcarine-excitatory-5","Ex7",0.00080788391373696
"calcarine-excitatory-5","Ex8",0.15512556698992
"calcarine-excitatory-5","Ex9",2.00190626158987e-49
"calcarine-excitatory-7","Ex0",0.000311663717533831
"calcarine-excitatory-7","Ex1",1.59268431465406e-19
"calcarine-excitatory-7","Ex11",2.41800786584308e-05
"calcarine-excitatory-7","Ex12",4.87197844098112e-22
"calcarine-excitatory-7","Ex14",3.52457469564368e-27
"calcarine-excitatory-7","Ex2",1.50527219451691e-16
"calcarine-excitatory-7","Ex3",0.00132315585945127
"calcarine-excitatory-7","Ex4",0.602936353756651
"calcarine-excitatory-7","Ex5",1.28719884305284e-13
"calcarine-excitatory-7","Ex6",0.812569609941273
"calcarine-excitatory-7","Ex7",1.64128221556572e-18
"calcarine-excitatory-7","Ex8",0.156322047030412
"calcarine-excitatory-7","Ex9",6.88722592873575e-09
"calcarine-excitatory-8","Ex0",4.0538892073756e-30
"calcarine-excitatory-8","Ex1",0.11379020684179
"calcarine-excitatory-8","Ex11",0.792487990452743
"calcarine-excitatory-8","Ex12",1.08407704178067e-07
"calcarine-excitatory-8","Ex14",0.000882341710042312
"calcarine-excitatory-8","Ex2",3.46538132811246e-50
"calcarine-excitatory-8","Ex3",0.00872980908402856
"calcarine-excitatory-8","Ex4",2.74258089242162e-06
"calcarine-excitatory-8","Ex5",0.0559347096502345
"calcarine-excitatory-8","Ex6",0.812569609941273
"calcarine-excitatory-8","Ex7",0.00080788391373696
"calcarine-excitatory-8","Ex8",0.000560127188558171
"calcarine-excitatory-8","Ex9",1.94021747055212e-05
"preCG-inhibitory-0","In0",1.08329871169258e-77
