region,cluster_cell_type,genes
calcarine,astrocyte,KANSL1
calcarine,astrocyte,MXI1
calcarine,astrocyte,JARID2
calcarine,astrocyte,LINC00511
calcarine,astrocyte,POU2F1
calcarine,astrocyte,CPEB3
calcarine,astrocyte,RBM26
calcarine,astrocyte,LMCD1-AS1
calcarine,astrocyte,MYCBP2
calcarine,astrocyte,ITGAV
calcarine,astrocyte,CNTNAP2
calcarine,astrocyte,FAT3
calcarine,astrocyte,EIF1
calcarine,astrocyte,FAM171B
calcarine,astrocyte,ZFHX4
calcarine,astrocyte,TTC17
calcarine,astrocyte,PCGF5
calcarine,astrocyte,C20orf194
calcarine,astrocyte,BCL6
calcarine,astrocyte,MEGF9
calcarine,astrocyte,PRKACB
calcarine,astrocyte,NFE2L2
calcarine,astrocyte,FER
calcarine,astrocyte,PIP4K2A
calcarine,astrocyte,FGD4
calcarine,astrocyte,ACSL3
calcarine,astrocyte,KIF21A
calcarine,astrocyte,RBM39
calcarine,astrocyte,PPP6R3
calcarine,astrocyte,NR3C2
calcarine,astrocyte,ALDH1A1
calcarine,astrocyte,NAV1
calcarine,astrocyte,PALLD
calcarine,astrocyte,COX7C
calcarine,astrocyte,TUBB2B
calcarine,astrocyte,HIBCH
calcarine,astrocyte,FAM172A
calcarine,astrocyte,MAP4
calcarine,astrocyte,ARNT2
calcarine,astrocyte,GRM3
calcarine,astrocyte,RHOB
calcarine,astrocyte,MAP4K5
calcarine,astrocyte,GRAMD1C
calcarine,astrocyte,NRXN3
calcarine,astrocyte,ZEB1
calcarine,astrocyte,FKBP5
calcarine,astrocyte,USP47
calcarine,astrocyte,RALGAPA1
calcarine,astrocyte,MIR4300HG
calcarine,astrocyte,SELENOW
calcarine,astrocyte,JPX
calcarine,astrocyte,CTDSPL
calcarine,astrocyte,STK3
calcarine,astrocyte,UNC5C
calcarine,astrocyte,ZNF518A
calcarine,astrocyte,RPL31
calcarine,astrocyte,AFF1
calcarine,astrocyte,ATP5ME
calcarine,astrocyte,SOX9
calcarine,astrocyte,HTRA1
calcarine,astrocyte,RABGAP1L
calcarine,astrocyte,NKAIN2
calcarine,astrocyte,SRPK2
calcarine,astrocyte,PLEKHA7
calcarine,astrocyte,FOXN3
calcarine,astrocyte,SNRNP70
calcarine,astrocyte,USP39
calcarine,astrocyte,RNPC3
calcarine,astrocyte,ACYP2
calcarine,astrocyte,NEGR1
calcarine,astrocyte,PHF14
calcarine,astrocyte,PHF21A
calcarine,astrocyte,ANGPTL4
calcarine,astrocyte,ZEB2
calcarine,astrocyte,SORL1
calcarine,astrocyte,ATXN2
calcarine,astrocyte,AGAP1
calcarine,astrocyte,THRB
calcarine,astrocyte,TNKS
calcarine,astrocyte,TUT4
calcarine,astrocyte,SHROOM3
calcarine,astrocyte,SRSF11
calcarine,astrocyte,LINC00499
calcarine,astrocyte,RPS24
calcarine,astrocyte,GPR37L1
calcarine,astrocyte,EPS15
calcarine,astrocyte,FAM184A
calcarine,astrocyte,ATP1B1
calcarine,astrocyte,TOX
calcarine,astrocyte,KMT2E
calcarine,astrocyte,FAM189A2
calcarine,astrocyte,GLG1
calcarine,astrocyte,EFNA5
calcarine,astrocyte,BAALC
calcarine,astrocyte,ZCCHC7
calcarine,astrocyte,DENND1A
calcarine,astrocyte,JAKMIP2
calcarine,astrocyte,ATP2C1
calcarine,astrocyte,FARP1
calcarine,astrocyte,ACSS3
calcarine,astrocyte,OSBPL1A
calcarine,astrocyte,TAOK3
calcarine,astrocyte,GOLGA4
calcarine,astrocyte,NRGN
calcarine,astrocyte,ABI1
calcarine,astrocyte,MIB1
calcarine,astrocyte,ACAP2
calcarine,astrocyte,EPHA6
calcarine,astrocyte,TENM4
